jj=423, kk=203, dout(204)=-0.096907+j0.003431
jj=424, kk=459, dout(460)=0.006347+j-0.032503
jj=425, kk=43, dout(44)=0.009943+j0.039704
jj=426, kk=299, dout(300)=-0.020878+j-0.003683
jj=427, kk=171, dout(172)=0.164235+j0.005737
jj=428, kk=427, dout(428)=-0.132488+j-0.018278
jj=429, kk=107, dout(108)=-0.049926+j0.015261
jj=430, kk=363, dout(364)=-0.027874+j-0.009120
jj=431, kk=235, dout(236)=0.078475+j0.002120
jj=432, kk=491, dout(492)=-0.100494+j-0.088085
jj=433, kk=27, dout(28)=-0.245347+j0.063022
jj=434, kk=283, dout(284)=-0.296469+j-0.001636
jj=435, kk=155, dout(156)=0.027182+j0.007580
jj=436, kk=411, dout(412)=0.006149+j-0.016362
jj=437, kk=91, dout(92)=-0.107960+j0.015934
jj=438, kk=347, dout(348)=-0.026860+j-0.006485
jj=439, kk=219, dout(220)=-0.003275+j0.002313
jj=440, kk=475, dout(476)=-0.100914+j-0.048122
jj=441, kk=59, dout(60)=-0.036236+j0.027669
jj=442, kk=315, dout(316)=0.178513+j-0.004728
jj=443, kk=187, dout(188)=-0.126952+j0.004275
jj=444, kk=443, dout(444)=-0.017999+j-0.023700
jj=445, kk=123, dout(124)=0.151594+j0.011179
jj=446, kk=379, dout(380)=-0.220341+j-0.010084
jj=447, kk=251, dout(252)=0.283265+j0.001817
jj=448, kk=507, dout(508)=0.159094+j-0.442809
jj=449, kk=7, dout(8)=0.141119+j-0.011484
jj=450, kk=263, dout(264)=0.056917+j-0.081564
jj=451, kk=135, dout(136)=0.042162+j-0.029764
jj=452, kk=391, dout(392)=0.257338+j-0.171247
jj=453, kk=71, dout(72)=0.261698+j0.061680
jj=454, kk=327, dout(328)=0.115255+j-0.051411
jj=455, kk=199, dout(200)=0.022174+j-0.160980
jj=456, kk=455, dout(456)=0.325551+j-0.043068
jj=457, kk=39, dout(40)=-0.166195+j0.045350
jj=458, kk=295, dout(296)=-0.117780+j0.070017
jj=459, kk=167, dout(168)=0.005626+j-0.063461
jj=460, kk=423, dout(424)=-0.045694+j-0.059970
jj=461, kk=103, dout(104)=-0.189513+j-0.107385
